Allen Community College: https://www.allencc.edu/athletics/softball/roster - Reason: Attempt 1: Roster year cannot be determined; Attempt 2: No player data found; Attempt 3: No player data found on the webpage.
Central Arizona College: https://cacgilaathletics.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chandler–Gilbert Community College: https://chandler-gilbert.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chattahoochee Valley Community College: https://cv.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chattanooga State Community College: https://chattanoogastate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Chesapeake College: https://chesapeake.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cisco College: https://cisco.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clarendon College: https://clarendoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Clark State College: https://clarkstate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cleveland Community College: https://clevelandcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cleveland State Community College: https://clevelandstatecc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cloud County Community College: https://cloud.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the provided page; Attempt 2: No player data found on the webpage.; Attempt 3: No player data found on the provided HTML content.
Coahoma Community College: https://coahomacc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Coastal Alabama Community College Brewton: https://coastalalabama.edu/athletics/softball_brewton/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found on the page; Attempt 3: No player data found on the page
Coastal Alabama Community College Monroeville: https://coastalalabama.edu/athletics/softball_monroeville/roster - Reason: Attempt 1: No player data found on the webpage.; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Coastal Alabama Community College–Bay Minette: https://coastalalabama.edu/athletics/softball_bayminette/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found; Attempt 3: No player data found
Coastal Bend College: https://coastalbend.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found; Attempt 3: No player data found on the webpage.
Coffeyville Community College: https://coffeyville.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of DuPage: https://chaps.cod.edu/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of Lake County: https://lakers.clcillinois.edu/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of Southern Idaho: https://athletics.csi.edu/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
College of Southern Nevada: https://csncoyotes.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Colorado Northwestern Community College: https://cncc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Columbia State Community College: https://columbiastate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Columbia–Greene Community College: https://sunycgcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Community College of Allegheny County: https://ccac.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Community College of Rhode Island: https://ccri.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Connors State College: https://connorsathletics.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Corning Community College: https://corningcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
County College of Morris: https://ccm.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cuyahoga Community College: https://tric.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Dakota College at Bottineau: https://dakotacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Dakota County Technical College: https://dctc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Danville Area Community College: https://dacc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Dawson Community College: https://dawson.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Daytona State College: https://daytonastate.edu/athletics/softball/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Delta College: https://delta.edu/athletics/softball/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found; Attempt 3: No player data found
Des Moines Area Community College: https://dmacc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found; Attempt 3: No player data found.
Dodge City Community College: https://goconqs.com/sports/sball/2023-24/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Dutchess Community College: https://sunydutchess.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Dyersburg State Community College: https://dscc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
East Central College: https://eastcentral.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
East Georgia State College: https://ega.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Eastern Arizona College: https://eac.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Eastern Florida State College: https://easternflorida.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Eastern Oklahoma State College: https://eosc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Edison State Community College: https://edisonohio.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
El Paso Community College: https://epcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Elgin Community College: https://elgin.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Ellsworth Community College: https://iavalley.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Enterprise State Community College: https://escc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Fayetteville Technical Community College: https://faytechcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Finger Lakes Community College: https://flcc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found on the page.; Attempt 3: No player data found on the page
Florence–Darlington Technical College: https://florence-darlington.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Florida SouthWestern State College: https://fsw.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Florida State College at Jacksonville: https://fscj.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fort Scott Community College: https://fortscott.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Frank Phillips College: https://fpctx.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Frederick Community College: https://frederick.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Frontier Community College: https://iecc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fulton–Montgomery Community College: https://fmcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Galveston College: https://gc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Garden City Community College: https://gccc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Garrett College: https://garrettcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Gaston College: https://gaston.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
GateWay Community College: https://gatewaycc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Genesee Community College: https://genesee.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Georgia Highlands College: https://highlands.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Georgia Military College: https://gmc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Glen Oaks Community College: https://glenoaks.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Glendale Community College: https://gccaz.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Gordon State College: https://gordonstate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Grand Rapids Community College: https://grcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Grayson College: https://grayson.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Gulf Coast State College: https://gulfcoast.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hagerstown Community College: https://hagerstowncc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Harford Community College: https://harford.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Harper College: https://harpercollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Heartland Community College: https://heartland.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Henry Ford College: https://hfcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Herkimer County Community College: https://herkimer.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hesston College: https://hesston.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found on the page.; Attempt 3: Unknown error
Highland Community College: https://highland.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Highland Community College: https://highlandcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hill College: https://hillcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hillsborough Community College: https://hccfl.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hinds Community College: https://hindscc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hocking College: https://hocking.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Holmes Community College: https://holmescc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Howard College: https://howardcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Howard Community College: https://howardcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hudson Valley Community College: https://hvcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Roster year cannot be determined
Hutchinson Community College: https://hutchcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Illinois Central College: https://icc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Illinois Valley Community College: https://ivcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Independence Community College: https://indycc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Indian Hills Community College: https://indianhills.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Indian River State College: https://irsc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found; Attempt 3: No player data found
Iowa Central Community College: https://iowacentral.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Roster year could not be determined.
Iowa Lakes Community College: https://iowalakes.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Iowa Western Community College: https://iwcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Itawamba Community College: https://iccms.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jackson College: https://jacksoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jackson State Community College: https://jscc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jamestown Community College: https://sunyjcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jefferson College: https://jeffco.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jefferson Community College: https://sunyjefferson.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
John A. Logan College: https://jalc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Johnson County Community College: https://jccc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Joliet Junior College: https://jjc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Jones County Junior College: https://jcjc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kalamazoo Valley Community College: https://kvcc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found on the webpage.; Attempt 3: No player data found on the page.
Kankakee Community College: https://kcc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page.; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Kansas City Kansas Community College: https://kckcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kaskaskia College: https://kaskaskia.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kilgore College: https://kilgore.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kirkwood Community College: https://kirkwood.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Kishwaukee College: https://kish.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Labette Community College: https://labette.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lackawanna College: https://lackawanna.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lake Land College: https://lakelandcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lake Michigan College: https://lakemichigancollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lake Region State College: https://lrsc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lake–Sumter State College: https://lssc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lakeland Community College: https://lakelandcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lamar Community College: https://lamarcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lamar State College–Port Arthur: https://lamarpa.edu/athletics/softball/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found on the page; Attempt 3: No player data found
Lansing Community College: https://lcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lehigh Carbon Community College: https://lccc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lewis and Clark Community College: https://lc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lincoln Land Community College: https://llcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lincoln Trail College: https://iecc.edu/ltc/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Louisburg College: https://louisburg.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Louisiana State University at Eunice: https://lsue.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Luna Community College: https://luna.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lurleen B. Wallace Community College: https://lbwcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Macomb Community College: https://macomb.edu/athletics/softball/roster - Reason: Attempt 1: No player data found; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Madison Area Technical College: https://madisoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Marian–Ancilla: https://ancilla.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Marion Military Institute: https://marionmilitary.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Marshalltown Community College: https://mcc.iavalley.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
McCook Community College: https://mpcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
McHenry County College: https://mchenry.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the page; Attempt 2: No player data found on the page.; Attempt 3: No player data found
McLennan Community College: https://mclennan.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mercer County Community College: https://mccc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Meridian Community College: https://meridiancc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mesa Community College: https://mesacc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Metropolitan Community College: https://mccneb.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Miami Dade College: https://mdc.edu/athletics/softball/roster - Reason: Attempt 1: Roster year not found on the page; Attempt 2: Roster year could not be determined.; Attempt 3: Roster year could not be determined.
Mid Michigan Community College: https://midmich.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Middlesex College: https://middlesexcc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Midland College: https://midland.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Miles Community College: https://milescc.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the webpage.; Attempt 2: No player data found; Attempt 3: No player data found on the page.
Milwaukee Area Technical College: https://matc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mineral Area College: https://mineralarea.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota North College – Hibbing: https://minnesotanorth.edu/athletics/hibbing/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota North College – Itasca: https://minnesotanorth.edu/athletics/itasca/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota North College – Mesabi Range Virginia: https://minnesotanorth.edu/athletics/mesabi/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota North College – Rainy River: https://minnesotanorth.edu/athletics/rainy/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota North College – Vermilion: https://minnesotanorth.edu/athletics/vermilion/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota State Community and Technical College: https://minnesota.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Minnesota West Community and Technical College: https://mnwest.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mississippi Delta Community College: https://msdelta.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mississippi Gulf Coast Community College: https://mgccc.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Missouri State University–West Plains: https://wp.missouristate.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
