Allan Hancock College: https://allanhancockcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cosumnes River College: https://cosumnesrivercollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cuesta College: https://cuestacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Cypress College: https://cypresscollege.edu/athletics/softball/roster - Reason: Attempt 1: Roster year cannot be determined; Attempt 2: Roster year not found; Attempt 3: Roster year could not be determined
Diablo Valley College: https://diablovalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
East Los Angeles College: https://eastlosangelescollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
El Camino College: https://elcaminocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Feather River College: https://featherrivercollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Folsom Lake College: https://folsomlakecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fresno City College: https://fresnocitycollege.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the provided HTML content.; Attempt 2: No player data found; Attempt 3: No player data found on the webpage
Fullerton College: https://fullertoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Glendale Community College: https://glendalecommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Golden West College: https://goldenwestcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hartnell College: https://hartnellcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Imperial Valley College: https://imperialvalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lassen Community College: https://lassencommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Long Beach City College: https://longbeachcitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Harbor College: https://losangelesharborcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Mission College: https://losangelesmissioncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Pierce College: https://losangelespiercecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Valley College: https://losangelesvalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Medanos College: https://losmedanoscollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mendocino College: https://mendocinocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Merced College: https://mercedcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Modesto Junior College: https://modestojuniorcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Monterey Peninsula College: https://montereypeninsulacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Moorpark College: https://moorparkcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mt. San Antonio College: https://mtsanantoniocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mt. San Jacinto College: https://mtsanjacintocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Ohlone College: https://ohlonecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Orange Coast College: https://orangecoastcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Palomar College: https://palomarcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Pasadena City College: https://pasadenacitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Porterville College: https://portervillecollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Reedley College: https://reedleycollege.edu/athletics/softball/roster - Reason: Attempt 1: No player data found on the provided webpage.; Attempt 2: No player data found on the provided webpage.; Attempt 3: No player data found on the webpage
Rio Hondo College: https://riohondocollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Riverside City College: https://riversidecitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Sacramento City College: https://sacramentocitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Saddleback College: https://saddlebackcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Bernardino Valley College: https://sanbernardinovalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Diego City College: https://sandiegocitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Diego Mesa College: https://sandiegomesacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Joaquin Delta College: https://sanjoaquindeltacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Jose City College: https://sanjosecitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Ana College: https://santaanacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Barbara City College: https://santabarbaracitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Monica College: https://santamonicacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Rosa Junior College: https://santarosajuniorcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santiago Canyon College: https://santiagocanyoncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Shasta College: https://shastacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Sierra College: https://sierracollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Solano Community College: https://solanocommunitycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Southwestern College: https://southwesterncollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Taft College: https://taftcollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Ventura College: https://venturacollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Victor Valley College: https://victorvalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
West Hills College Coalinga: https://westhillscollegecoalinga.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
West Valley College: https://westvalleycollege.edu/athletics/softball/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
