Allan Hancock College: https://ahcbulldogs.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
El Camino College: https://eccwarriors.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Feather River College: https://athletics.frc.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fresno City College: https://fccrams.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Fullerton College: https://www.fchornets.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Glendale Community College: https://www.gccathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Golden West College: https://www.gwcathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Hartnell College: https://hartnellpanthers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Lassen Community College: https://www.lassenathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Long Beach City College: https://www.lbccvikings.com/sports/sball/2024-25/roster - Reason: Attempt 1: Missing player data. No players found on the roster page.; Attempt 2: Player data is missing required fields.; Attempt 3: No player data found on the page
Los Angeles Harbor College: https://www.lahcathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Mission College: https://www.lamcathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Los Angeles Pierce College: https://www.lapcbrahmas.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mendocino College: https://www.mendoeagles.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Modesto Junior College: https://athletics.mjc.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Monterey Peninsula College: https://www.athletics.mpc.edu/teams/men-s-sports/baseball/team-roster-13837 - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Moorpark College: https://moorparkcollegeathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Mt. San Jacinto College: https://msjc.prestosports.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Ohlone College: https://www.ohloneathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Orange Coast College: https://www.occpirateathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Palomar College: https://palomarathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Pasadena City College: https://pcclancers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Reedley College: https://www.rctigers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Riverside City College: https://rccathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Sacramento City College: https://www.sccpanthers.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Saddleback College: https://saddlebackbobcats.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Bernardino Valley College: https://sbvcathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Diego City College: https://www.sdcityknights.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Diego Mesa College: https://www.gosdmesa.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
San Jose City College: https://sjccjaguars.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Ana College: https://www.sacdons.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Barbara City College: https://www.sbccvaqueros.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Monica College: https://www.smccorsairs.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santa Rosa Junior College: http://srjcathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Santiago Canyon College: https://www.scchawks.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Shasta College: https://www.shastacollegeathletics.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Sierra College: https://athletics.sierracollege.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Southwestern College: https://www.southwesternjaguars.com/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
West Valley College: https://athletics.westvalley.edu/sports/sball/2024-25/roster - Reason: Attempt 1: Unknown error; Attempt 2: Unknown error; Attempt 3: Unknown error
Yuba College: https://yc.yccd.edu/athletics/sports/softball/player-roster/ - Reason: Attempt 1: Player data is missing required fields (position, hometown, highSchool).; Attempt 2: Missing player information: year, hometown, highSchool; Attempt 3: Player data is missing required fields (position, hometown, highSchool)
